Name,Designation,Department,Email,Profile_URL
Dr. Menagadevi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-menagadevi-m/
Dr. Mohideen Abdulkader M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-mohideen-abdulkader-m/
Dr. Muralidharan C,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-c-muralidharan/
Dr. Muthu Kumaran A M J,Assistant Professor,,,https://www.srmist.edu.in/faculty/a-m-j-muthu-kumaran/
Dr. Nagadevi S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-s-nagadevi/
Dr. Nalini Pusarla,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-nalini-pusarla/
Dr. Nalini S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-nalini-s/
Dr. Nikkath Bushra S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-nikkath-bushra-s/
Dr. Nithiya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/s-nithiya/
Dr. Nithiyanandam N,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-n-nithiyanandam/
Dr. Nithyakani P,Assistant Professor,,,https://www.srmist.edu.in/faculty/p-nithyakani/
Dr. Nithyashri J,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-j-nithyashri/
Dr. Pallavi Joshi,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-pallavi-joshi/
Dr. Pandiaraj A,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-pandiaraj-a/
Dr. Pavithra Guru R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-pavithra-guru/
Dr. Pavithra S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-pavithra-s/
Dr. Poonkodi S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-poonkodi-s/
Dr. Prabu S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-prabu-s/
Dr. Prabu Shankar K C,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-k-c-prabu-shankar/
Dr. Prakash B,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-b-prakash/
Dr. Prakash U M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-u-m-prakash/
Dr. Pretty Diana Cyril C,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-c-pretty-diana-cyril/
Dr. Priya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-s-priya/
Dr. Priyadharshini K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-priyadharshini-k/
Dr. Raghavendra V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-raghavendra-v/
Dr. Ragunthar T,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-t-ragunthar/
Dr. Rahul Gowtham Poola,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-rahul-gowtham-poola/
Dr. Rajalakshmi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/m-rajalakshmi/
Dr. Rajasekar L,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-rajasekar-l/
Dr. Rajasekaran P,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-p-rajasekaran/
Dr. Rajathi V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-rajathi-v/
Dr. Rajmohan R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-rajmohan-r/
Dr. Rama P,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-rama-p/
Dr. Ramaprabha J,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-j-ramaprabha-2/
Dr. Ramesh S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-s-ramesh/
Dr. Ramkumar Jayaraman,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-ramkumar-jayaraman/
Dr. Ramya G,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-g-ramya/
Dr. Ranjani M,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-m-ranjani/
Dr. Renuka Devi P,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-renuka-devi-p/
Dr. Revathi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-m-revathi/
Dr. Robert P,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-robert-p/
Dr. Sakthipriya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sakthipriya-s/
Dr. Saminathan S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-s-saminathan/
Dr. Sammy F,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sammy-f/
Dr. Samsudeen S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-samsudeen-s/
Dr. Sankara Narayanan S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sankara-narayanan-s/
Dr. Saranya S S,Assistant Professor,,,https://www.srmist.edu.in/faculty/s-s-saranya/
Dr. Saranya V G,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-saranya-v-g/
Dr. Saranya V S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-saranya-v-s/
Dr. Saravanan P,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-p-saravanan-3/
Dr. Saravanan P,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-saravanan-p/
Dr. Sathya R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sathya-r-2/
Dr. Sathyapriya L,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-l-sathyapriya/
Dr. Saviour Prakash G L,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-saviour-prakash-g-l/
Dr. Selvin Pradeep Kumar S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-selvin-pradeep-kumar-s/
Dr. Senthil Kumar K,Assistant Professor,,,https://www.srmist.edu.in/faculty/k-senthil-kumar/
Dr. Senthil Raja M,Assistant Professor,,,https://www.srmist.edu.in/faculty/m-senthil-raja/
Dr. Shanmugam S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-s-shanmugam/
Dr. Shibu N V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-n-v-shibu/
Dr. Shiju Kumar P S,Assistant Professor,,,https://www.srmist.edu.in/faculty/shiju-kumar-p-s/
Dr. Shiny Irene D,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-d-shiny-irene/
Dr. Shoba LK,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-l-k-shoba/
Dr. Shwet Kashyap,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-shwet-kashyap/
Dr. Shyni Shajahan,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-shyni-shajahan/
Dr. Sibi Amaran,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-sibi-amaran/
Dr. Sindhuja M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sindhuja-m/
Dr. Sivakumar S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-s-sivakumar-3/
Dr. Sivakumar T K,Assistant Professor(Sr.Gr),,,https://www.srmist.edu.in/faculty/t-k-sivakumar/
Dr. Sivasakthiselvan S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sivasakthi-selvan-s/
Dr. Snehasish Ghosh,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-snehasish-ghosh-2/
Dr. Sorna Lakshmi K,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-k-sorna-lakshmi/
Dr. Sowmiya B,Assistant Professor,,,https://www.srmist.edu.in/faculty/b-sowmiya/
Dr. Sridhar S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sridhar-s/
Dr. Subha S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-subha-s/
Dr. Sudestna Nahak,Research Assistant Professor,,,https://www.srmist.edu.in/faculty/sudestna-nahak/
Dr. Sudha D,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sudha-d/
Dr. Suganiya M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-suganiya/
Dr. Suganya A,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-suganya-a/
Dr. Sujithra J,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sujithra-j/
Dr. Sundari K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sundari-k/
Dr. Supraja G,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-supraja-g/
Dr. Suresh Anand M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-suresh-anand/
Dr. Suresh M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-sures/
Dr. Swathi Mirthika G L,Assistant Professor,,,https://www.srmist.edu.in/faculty/swathi-mirthika-g-l/
Dr. Sworna Kokila M. L,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-l-sworna-kokila/
Dr. Syed Anwar Hussainy F,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-syed-anwar-hussainy-f/
Dr. Thamizhamuthu R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-r-thamizhamuthu/
Dr. Thanigaivelu P S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-thanigaivelu-p-s/
Dr. Umamageswari B,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-umamageswari-b/
Dr. Vaidhehi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/m-vaidhehi/
Dr. Vaishnavi J,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vaishnavi-j/
Dr. Vanusha D,Assistant Professor,,,https://www.srmist.edu.in/faculty/d-vanusha/
Dr. Vetriselvi D,Assistant Professor,,,https://www.srmist.edu.in/faculty/vetriselvi-d/
Dr. Vidhya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-s-vidhya/
Dr. Vidhyalakshmi M K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vidhyalakshmi-m-k/
Dr. Vijayakumar M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-vijayakumar-m/
Dr. Vijayalakshmi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/vijayalakshmi-m/
Dr. Viji D,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-d-viji/
Dr. Vijiyakumar K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vijiyakumar-k/
Dr. Vinay Kishnani,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vinay-kishnani/
Dr. Vinoth N A S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-vinoth-n-a-s-2/
Dr. Vinu S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vinu-s/
Dr. Vivek Justus,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vivek-justus/
Dr. Viveka S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-viveka-s/
Dr. Yamini R,Assistant Professor,,,https://www.srmist.edu.in/faculty/r-yamini/
Dr. Yazhinian S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-yazhinian-s/
Mr. Anand M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-anand-m/
Mr. Chandra Sekaran D S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-chandra-sekaran-d-s/
Mr. Ganesh Shanker S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-ganesh-shanker-s/
Mr. Giridharan N,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-giridharan-n/
Mr. Gowtham R,Assistant Professor,,,https://www.srmist.edu.in/faculty/gowtham-r/
Mr. Himadri Nirjhar Mandal,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-himadri-nirjhar-mandal/
Mr. Nandhakumar Vijayan,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-nandhakumar-v/
Mr. Rohit Ravi,Assistant Professor,,,https://www.srmist.edu.in/faculty/rohit-ravi/
Mr. Saravana Kumar N,Assistant Professor Jr G,,,https://www.srmist.edu.in/faculty/mr-saravana-kumar-n/
Mr. Venkatesh C,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-venkatesh-c/
Mrs. Agalya A,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-agalya-a/
Mrs. Archana R,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-archana-r/
Mrs. Babeetha S,Assistant Professor,,,https://www.srmist.edu.in/faculty/babeetha-s/
Mrs. Bagiyalakshmi N,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-bagiyalakshmi-n/
Mrs. Bharani H,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-bharani-h/
Mrs. Brindha R,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-r-brindha/
Mrs. Christina Sweetline B,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-christina-b/
Mrs. Deluxni N,Assistant Professor,,,https://www.srmist.edu.in/faculty/deluxni-n/
Mrs. Gokila K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-gokila-k/
Mrs. Jayanthi V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-jayanthi-v/
Mrs. Jeeva K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-jeeva-k/
Mrs. Kavipriya J,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-kavipriya-j/
Mrs. Leela Ranganayagi K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-leela-ranganayagi-k/
Mrs. Ramya M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-ramya-m/
Mrs. Rekha G,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-rekha-g/
Mrs. Saranya R,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-saranya-r/
Mrs. Selvameena P,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-selvameena-p/
Mrs. Sivakamasundari P,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sivakamasundari-p/
Mrs. Sony Priya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sony-priya-s/
Mrs. Soshya Joshi,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-soshya-joshi/
Mrs. Sujatha V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sujatha-v/
Mrs. Sumathy V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sumathy-v/
Mrs. Vathana D,Assistant Professor,,,https://www.srmist.edu.in/faculty/d-vathana/
Mrs. Vidhyalakshmi A M,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-vidhyalakshmi-a-m/
Ms. Harini K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-harini-k/
Ms. Jaya Poornima V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-jaya-poornima-v/
Ms. Lopamudra Mazumder,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-lopamudra-mazumder/
Ms. Preethi C,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-preethi-c/
Ms. Priya Lakshmi P,Assistant Professor Jr G,,,https://www.srmist.edu.in/faculty/ms-priya-lakshmi-p/
Ms. Shanmathi S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-shanmathi-s/
Ms. Shivani Singh,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-shivani-singh/
Ms. Vinothini R,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-vinothini-r/
